"Client/Parent","Subsidiary/Affiliate","Total"
"Agri Beef","Agri Beef","$80000"
"Hormel Foods","Hormel Foods","$616000"
"JBS SA","JBS USA","$498000"
"Johnsonville Sausage","Johnsonville Sausage","$30000"
"Memphis Meats","Memphis Meats","$100000"
"North American Meat Institute","North American Meat Institute","$309042"
"North American Renderers Assn","North American Renderers Assn","$80000"
"Pacific Salmon Treaty Coalition","Pacific Salmon Treaty Coalition","$40000"
"Transhumance Holding","Transhumance Holding","$40000"
"Tyson Foods","Tyson Foods","$1334159"
"WH Group","Smithfield Foods","$1460000"
